TIM                              GSCN       ROUND(RATE)          Headroom   
20181009013228    12555074097915                11            2577.8   
20181009020118    12555074116863                10            2577.9   
20181009020119    12555074116878                 9            2577.9   
20181009020126    12555074116940                24            2577.9   
20181009020127    12555074116956                24            2577.9   
20181009050133    12555074375560                 3              2578   
20181009050133    12555074375564                 3              2578   
20181009050142    12555074375588                 9              2578   
20181009050145    12555074375596                 9              2578   
20181009080114    12555074472744                11            2578.1   
20181009080114    12555074472762                 8            2578.1   
20181009080123    12555074472838              9305            2578.1   
20181009080123    12555074472841                17            2578.1   
20181009080126    12555074472893              9305            2578.1   
20181009110116    12555174904364                27            2578.2   
20181009110119    12555174904409                30            2578.2   
20181009110128    12555174904682              1789            2578.2   
20181009110128    12555174904685              1789            2578.2   
20181009140113    12555194202967                 9            2578.3   
20181009140116    12555194202994                 9            2578.3   
20181009140124    12555194203069              1515            2578.3   
20181009140125    12555194203072              1515            2578.3   
20181009170114    12555210554724                11            2578.4   
20181009170115    12555210554733                10            2578.4   
20181009170123    12555210554821               726            2578.4   
20181009170124    12555210554824              1228            2578.4   
20181009172602    12555212369552               646            2578.4   
20181009200114    12555218384050                 8            2578.5   
20181009200114    12555218384053                 8            2578.5   
20181009200123    12555218384123               758            2578.5   
20181009200123    12555218384128               758            2578.5   
20181009230134    12555226573523                11            2578.6   
20181009230134    12555226573526                12            2578.6   
20181009230143    12555226573618              2044            2578.6   
20181009230143    12555226573634              2045            2578.6   
20181010013137    12555244962036                21            2578.7   
20181010013139    12555244962059                24            2578.7   
20181010013146    12555244962226                10            2578.7   
20181010013146    12555244962229                10            2578.7   
20181010013151    12555244962278                11            2578.7   
20181010013152    12555244962287                11            2578.7   
20181010020121    12555244981872                14            2578.7   
20181010020122    12555244981892                12            2578.7   
20181010020130    12555244981995                27            2578.7   
20181010020131    12555244982000                27            2578.7   
20181010050117    12555245271339                 9            2578.9   
20181010050118    12555245271356                 9            2578.9   
20181010050127    12555245271440                11            2578.9   
20181010050129    12555245271452                11            2578.9   
20181010080113    12555245387362                55              2579   
20181010080114    12555245387390                54              2579   
20181010080123    12555245387875              6111              2579   
20181010080125    12555245388027              6114              2579   
20181010110118    12555311371567                12            2579.1   
20181010110120    12555311371588                11            2579.1   
20181010110129    12555311371689                23            2579.1   
20181010110130    12555311371706                46            2579.1   
20181010113350    12555311415998               541            2579.1   
20181010113435    12555311440324               542            2579.1   
20181010113520    12555311464711               526            2579.1   
20181010113522    12555311465474               528            2579.1   
20181010113605    12555311488397               518            2579.1   
20181010113651    12555311512233               528            2579.1   
20181010113736    12555311536015               528            2579.1   
20181010113737    12555311536798              1021            2579.1   
20181010113821    12555311559770               527            2579.1   
20181010113909    12555311585044              1027            2579.1   
20181010140113    12555320336206                10            2579.2   
20181010140114    12555320336223                 7            2579.2   
20181010140123    12555320336290              2013            2579.2   
20181010140125    12555320336328              2013            2579.2   
20181010170113    12555342055716                 3            2579.3   
20181010170115    12555342055721                 3            2579.3   
20181010170124    12555342055745               766            2579.3   
20181010170125    12555342055748               763            2579.3   
20181010190209    12555347605185               495            2579.4   
20181010190257    12555347628962               513            2579.4   
20181010190345    12555347653597               487            2579.4   
20181010190346    12555347654142               500            2579.4   
20181010190437    12555347678927               512            2579.4   
20181010190525    12555347703487               503            2579.4   
20181010190616    12555347729117               506            2579.4   
20181010190617    12555347729666                31            2579.4   
20181010190704    12555347753381               502            2579.4   
20181010190755    12555347778959                17            2579.4   
20181010200115    12555347832135                 9            2579.4   
20181010200116    12555347832146                 8            2579.4   
20181010200123    12555347832205                17            2579.4   
20181010200124    12555347832218                17            2579.4   
20181010230123    12555348019359                18            2579.5   
20181010230124    12555348019375                19            2579.5   
20181010230133    12555348019543              3403            2579.5   
20181010230135    12555348019576              3404            2579.5   
20181011013111    12555378575877                14            2579.6   
20181011013111    12555378575881                14            2579.6   
20181011013122    12555378576037                11            2579.6   
20181011013123    12555378576046                11            2579.6   
20181011013129    12555378576110                11            2579.6   
20181011013129    12555378576114                11            2579.6   
20181011020118    12555378595523                13            2579.6   
20181011020119    12555378595547                11            2579.6   
20181011020129    12555378595657                26            2579.6   
20181011020129    12555378595661                26            2579.6   
20181011050118    12555378875063                 9            2579.8   
20181011050119    12555378875072                 9            2579.8   
20181011050128    12555378875157                11            2579.8   
20181011050131    12555378875176                11            2579.8   
20181011080115    12555378992722                12            2579.9   
20181011080116    12555378992725                12            2579.9   
20181011080124    12555378992817              8319            2579.9   
20181011080127    12555378992861              8383            2579.9   
20181011094851    12555433011029               483            2579.9   
20181011094939    12555433034223               500            2579.9   
20181011094940    12555433034427               506            2579.9   
20181011095031    12555433060227               503            2579.9   
20181011095122    12555433085866               505            2579.9   
20181011095213    12555433111645               513            2579.9   
20181011095213    12555433111853               504            2579.9   
20181011095304    12555433137793               504            2579.9   
20181011095355    12555433163521               504            2579.9   
20181011095446    12555433189234               498            2579.9   
20181011095447    12555433189435               504            2579.9   
20181011095538    12555433215140               503            2579.9   
20181011095629    12555433240768               501            2579.9   
20181011095717    12555433264819               501            2579.9   
20181011095717    12555433265036               499            2579.9   
20181011095808    12555433290381               504            2579.9   
20181011095859    12555433316062               503            2579.9   
20181011095950    12555433341733              3524            2579.9   
20181011095951    12555433341934              3527            2579.9   
20181011110118    12555446344285                11              2580   
20181011110120    12555446344302                12              2580   
20181011110129    12555446344409              1319              2580   
20181011110130    12555446344419              1262              2580   
20181011164507    12555473543696                38            2580.2   
20181011165256    12555473561603                37            2580.2   
20181011170116    12555473579885                10            2580.2   
20181011170116    12555473579893                 9            2580.2   
20181011170125    12555473579974               130            2580.2   
20181011170125    12555473579977               106            2580.2   
20181011170328    12555473593004               145            2580.2   
20181011170553    12555473614076               480            2580.2   
20181011170556    12555473615164               495            2580.2   
20181011170641    12555473637110               498            2580.2   
20181011170732    12555473662483               499            2580.2   
20181011170823    12555473687908               495            2580.2   
20181011170826    12555473689356             37190            2580.2   
20181011170915    12555473713654               513            2580.2   
20181011171006    12555473739807            111284            2580.2   
20181011171057    12555479415283               501            2580.2   
20181011171100    12555479416608               502            2580.2   
20181011171148    12555479440845               502            2580.2   
20181011171239    12555479466439               498            2580.2   
20181011171330    12555479491858               503            2580.2   
20181011171333    12555479493400               502            2580.2   
20181011171421    12555479517529               500            2580.2   
20181011171513    12555479543515               506            2580.2   
20181011171604    12555479569321               498            2580.2   
20181011171607    12555479570736              1185            2580.2   
20181011171655    12555479594722              1195            2580.2   
20181011190319    12555487226533               506            2580.3   
20181011190407    12555487250841               505            2580.3   
20181011190410    12555487252192               503            2580.3   
20181011190455    12555487275067               507            2580.3   
20181011190543    12555487299419               498            2580.3   
20181011190634    12555487324796               496            2580.3   
20181011190637    12555487326139               633            2580.3   
20181011190726    12555487350596               501            2580.3   
20181011190817    12555487376150               637            2580.3   
20181011200145    12555489421153                 9            2580.3   
20181011200145    12555489421157                10            2580.3   
20181011200154    12555489421236               544            2580.3   
20181011200154    12555489421247               544            2580.3   
20181011230120    12555495278036                 9            2580.4   
20181011230121    12555495278045                 9            2580.4   
20181011230129    12555495278120              2295            2580.4   
20181011230130    12555495278124              2295            2580.4   
20181012013150    12555515982025                16            2580.5   
20181012013150    12555515982034                16            2580.5   
20181012013159    12555515982171                11            2580.5   
20181012013159    12555515982174                12            2580.5   
20181012013202    12555515982209                11            2580.5   
20181012013205    12555515982234                11            2580.5   
20181012020124    12555516001864                11            2580.5   
20181012020126    12555516001881                12            2580.5   
20181012020135    12555516001989                26            2580.5   
20181012020135    12555516001992                26            2580.5   
20181012050124    12555516277476                11            2580.7   
20181012050125    12555516277483                10            2580.7   
20181012050134    12555516277573              3403            2580.7   
20181012050137    12555516277616              2408            2580.7   
20181012092556    12555570260959              1592            2580.8   
20181012144837    12555601094113                 8              2581   
20181012144838    12555601094125                 8              2581   
20181012144846    12555601094182              1367              2581   
20181012144847    12555601094200              1367              2581   
20181012170115    12555611964010                10            2581.1   
20181012170116    12555611964016                 9            2581.1   
20181012170126    12555611964106              1231            2581.1   
20181012170127    12555611964129              1217            2581.1   
20181012182147    12555617899514               470            2581.2   
20181012182235    12555617922085               503            2581.2   
20181012182323    12555617946215               491            2581.2   
20181012182325    12555617946948               504            2581.2   
20181012182415    12555617971761               508            2581.2   
20181012182506    12555617997675               503            2581.2   
20181012182557    12555618023318               404            2581.2   
20181012182558    12555618024067               404            2581.2   
20181012200115    12555620333799                 8            2581.2   
20181012200116    12555620333802                 9            2581.2   
20181012200126    12555620333887                34            2581.2   
20181012200128    12555620333911                34            2581.2   
20181012230151    12555620696909                12            2581.3   
20181012230152    12555620696913                12            2581.4   
20181012230200    12555620697011              2789            2581.4   
20181012230203    12555620697050              2790            2581.4   
20181013013111    12555645662916                15            2581.4   
20181013013112    12555645662920                17            2581.4   
20181013013119    12555645663038                21            2581.4   
20181013013120    12555645663048                29            2581.4   
